Pressure (atm),BIP Adjusted CP SRK Density @160K (kg/m3),BIP Adjusted CP PR Density @160K (kg/m3),SRK-HEOS Deviation (%),PR-HEOS Deviation (%),CP HEOS Density @160K (kg/m3)
BIPs:,-0.10239999999999999,0.10663000000000003,,,
4200000.0,356.00560107825265,337.2963922310231,0.5483290347794707,-4.7358004324368235,354.06416446275404
4300000.0,357.20454347729384,340.24797896246105,0.4571751499038804,-4.311545188378944,355.57892499392625
4400000.0,358.377656080058,343.04127506229656,0.37771656235029605,-3.9178383663006473,357.02909804433466
4500000.0,359.52621312426095,345.6952739318242,0.3083744884399953,-3.550479128896335,358.42093440133897
4600000.000000001,360.6513902672395,348.2255413944357,0.24783783850078006,-3.2060916802057053,359.7597694308866
4700000.0,361.7542748470907,350.6450165984244,0.1950078803280362,-2.8819211158537295,361.05019850805996
4800000.0,362.835874815821,352.96458819410236,0.1489563436909104,-2.5756889341124007,362.29621162565275
4900000.0,363.8971265482389,355.1935181961566,0.10889324125844696,-2.2854884006005074,363.5012982026095
5000000.0,364.9389016944322,357.3397599198385,0.07414183239859554,-2.0097072399372244,364.66852976428396
5100000.0,365.9620132148847,359.41020057659006,0.04411891753225841,-1.7469694988659221,365.80062593839443
5200000.0,366.9672207140335,361.4108492103284,0.018319164837832712,-1.4960911341928096,366.9000076968335
5300000.0,367.9552351692,363.34698427376014,-0.003697475054020592,-1.2560456049545563,367.9688407252924
5400000.0,368.9267231364078,365.2232709298326,-0.0223159629998041,-1.0259368755955163,369.0090710641724
5500000.0,369.88231050193775,367.04385531888755,-0.03787449437944173,-0.804977989718554,370.02245463572143
5600000.0,370.8225858380357,368.8124410739739,-0.050671344630909,-0.5924738867118692,371.0105818886016
5700000.0,371.74810341251936,370.53235199468014,-0.06097053784794714,-0.3878074891349853,371.9748985087995
5800000.0,372.65938589482494,372.2065838127611,-0.0690065703512512,-0.1904283393991491,372.91672293558906
5900000.0,373.5569267949927,373.83784727672855,-0.07498836981191082,0.00015675638198230972,373.8372612629633
6000000.0,374.4411926670311,375.4286042653683,-0.07910263173476481,0.1843914893979504,374.73761998654066
6100000.0,375.3126251038173,376.9810982565881,-0.08151664554038285,0.36267653047221643,375.61881696342436
6200000.0,376.1716425470779,378.4973801902825,-0.08238069973742809,0.5353749791663184,376.4817908807895
6300000.0,377.01864193291846,379.979330545776,-0.08183013803278806,0.7028169717526436,377.3274094729257
6400000.0,377.85400019075115,381.4286782874178,-0.07998712443545565,0.8653035996659625,378.15647668231577
6500000.0,378.67807561122817,382.84701720287046,-0.07696216454349708,1.0231102590397432,378.9697389252699
6600000.0,379.4912090968647,384.23582005810965,-0.07285542160138153,1.176489527971782,379.7678905946641
6700000.0,380.2937253073814,385.59645091416076,-0.06775785903969905,1.3256736495013095,380.55157890979245
6800000.0,381.0859337103679,386.93017588811716,-0.06175223569803248,1.470876683632242,381.3214082051298
6900000.0,381.8681295466309,388.2381725911647,-0.05491397547957547,1.612296380152071,382.07794373496637
7000000.0,382.64059471851857,389.5215384363768,-0.04731192957389042,1.750115814775037,382.8217150587407
7100000.0,383.4035986085788,390.78129797679566,-0.03900904643572803,1.8845048237544793,383.5532190619084
7199999.999999999,384.15739883509355,392.0184094081037,-0.030062962293486404,2.015621266149339,384.2729226589366
7300000.0,384.90224195031846,393.23377034880923,-0.020526522968869663,2.1436121381085003,384.9812652181493
7400000.0,385.63836408663474,394.4282229933035,-0.010448246145499643,2.268614559597525,385.6786607424398
7500000.0,386.3659915552683,395.60255871866065,0.00012726814506739832,2.3907566507724947,386.3654998350635
7600000.0,387.0853414017508,396.7575222140392,0.011158972190455033,2.5101583125492906,387.04215147570227
7699999.999999999,387.7966219218683,397.89381519154006,0.022609044743375065,2.62693192372161,387.7089646285813
7800000.0,388.50003314147074,399.01209972901665,0.034442599773550756,2.7411829651570843,388.36626970154197
7900000.0,389.19576726317484,400.1130012883001,0.046627425630059866,2.853010580078778,389.01437987250955
8000000.0,389.88400908270347,401.1971114463861,0.05913375099003483,2.962508078163944,389.6535922977104
8100000.0,390.56493637733735,402.2649903721119,0.07193403445541106,3.069763390118448,390.284189214194
8199999.999999999,391.2387202687198,403.3171690765989,0.08500277507194726,3.1748594784801223,390.90643894767936
8300000.000000001,391.9055255620491,404.3541514621054,0.09831634140053695,3.2778747096386973,391.52059683541097
8399999.999999998,392.5655110635002,405.3764161908326,0.11185281706828587,3.3788831914036086,392.1269060725753
8500000.0,393.2188298775586,406.38441839256484,0.12559186099149905,3.477955079898737,392.72559848982524
